project_id,attendance,study_hours,previous_performance,task_completion,pending_tasks,missed_deadlines,milestone_completion,days_remaining,team_size,project_type,planned_tasks,completed_tasks,project_progress,delay_risk
PROJ-0214,66.1,11.4,52.8,45.5,6,2,67.9,58,4,Research,11,5,,MEDIUM
PROJ-0215,46.9,1.0,74.7,9.1,10,8,32.6,28,7,AI,11,1,11.6,HIGH
PROJ-0216,59.7,12.6,63.7,43.8,9,2,27.1,49,5,Research,16,7,32.5,MEDIUM
PROJ-0217,51.4,18.4,63.1,18.2,9,2,21.9,26,1,Web,11,2,,HIGH
PROJ-0218,71.4,18.2,73.8,86.7,2,1,100.0,77,6,Mobile,15,13,67.2,LOW
PROJ-0219,85.3,10.2,63.3,23.8,16,7,32.9,14,6,Research,21,5,58.8,HIGH
PROJ-0220,87.2,31.7,91.4,73.7,5,4,65.9,57,1,Research,19,14,,LOW
PROJ-0221,91.9,29.5,74.7,100.0,0,0,81.6,72,5,Research,14,14,89.3,LOW
PROJ-0222,65.0,19.0,90.3,68.8,5,2,89.3,50,3,Mobile,16,11,54.2,LOW
PROJ-0223,78.1,8.7,64.2,20.0,4,8,50.6,40,2,Web,5,1,29.6,HIGH
PROJ-0224,53.8,17.1,62.3,55.6,12,2,34.8,32,6,IoT,27,15,56.0,MEDIUM
PROJ-0225,83.1,21.2,74.3,77.8,2,1,99.4,43,4,Web,9,7,30.3,LOW
PROJ-0226,63.1,21.0,58.3,50.0,14,3,34.9,60,5,Web,28,14,86.4,MEDIUM
PROJ-0227,62.2,5.3,73.4,70.8,7,2,74.5,30,5,Research,24,17,68.0,MEDIUM
PROJ-0228,70.0,9.7,54.2,53.6,13,0,58.3,28,3,AI,28,15,22.9,MEDIUM
PROJ-0229,85.1,14.7,79.0,63.6,4,1,67.3,21,7,Web,11,7,86.5,LOW
PROJ-0230,71.9,23.3,79.6,60.0,2,0,43.7,48,5,AI,5,3,43.8,MEDIUM
PROJ-0231,70.9,11.8,77.3,69.2,4,2,62.6,53,6,Research,13,9,57.5,LOW
PROJ-0232,62.1,1.0,67.6,0.0,12,5,68.8,11,5,Research,12,0,48.3,HIGH
PROJ-0233,69.9,30.5,100.0,95.8,1,2,55.9,44,7,Research,24,23,68.0,LOW
PROJ-0234,69.7,,30.5,16.7,5,2,4.5,35,4,Mobile,6,1,36.1,HIGH
PROJ-0235,74.7,12.6,82.2,81.2,3,1,78.6,46,4,Mobile,16,13,70.8,LOW
PROJ-0236,56.8,5.7,41.8,66.7,2,5,48.5,55,1,IoT,6,4,48.4,MEDIUM
PROJ-0237,78.8,17.1,61.3,20.0,12,4,75.2,78,6,IoT,15,3,63.9,MEDIUM
PROJ-0238,93.6,,92.0,79.3,6,1,68.1,47,4,AI,29,23,30.1,LOW
PROJ-0239,68.7,6.9,53.7,57.1,12,1,68.4,77,4,AI,28,16,39.1,MEDIUM
PROJ-0240,68.1,11.3,46.9,41.7,7,1,31.3,56,3,IoT,12,5,38.8,HIGH
PROJ-0241,67.7,23.8,77.7,81.0,4,3,100.0,24,1,Research,21,17,73.3,LOW
PROJ-0242,77.7,17.9,40.9,56.5,10,3,70.7,63,2,Research,23,13,74.3,LOW
PROJ-0243,64.1,7.2,36.1,14.3,18,3,56.4,31,3,Mobile,21,3,15.7,HIGH
PROJ-0244,75.2,16.7,53.8,4.8,20,0,12.0,37,6,AI,21,1,23.3,HIGH
PROJ-0245,87.3,17.2,81.2,88.9,2,1,93.7,11,3,IoT,18,16,65.2,LOW
PROJ-0246,67.2,18.5,77.0,75.0,6,2,,64,5,Research,24,18,63.3,MEDIUM
PROJ-0247,90.3,12.5,73.6,50.0,13,5,60.9,54,2,Mobile,26,13,56.9,MEDIUM
PROJ-0248,84.7,,64.5,93.1,2,2,83.7,67,1,Research,29,27,65.2,LOW
PROJ-0249,52.8,8.8,71.8,68.2,7,4,43.8,64,5,Mobile,22,15,71.1,MEDIUM
PROJ-0250,64.1,,46.4,25.0,21,3,14.6,25,2,Web,28,7,37.9,HIGH
PROJ-0251,38.7,5.2,62.1,46.4,15,5,34.0,17,4,Mobile,28,13,0.0,HIGH
PROJ-0252,80.9,2.7,62.2,7.1,26,4,7.6,26,4,Mobile,28,2,19.0,HIGH
PROJ-0253,83.9,22.6,79.1,61.1,7,1,83.0,27,6,Web,18,11,65.2,LOW
PROJ-0254,78.0,18.0,80.7,80.0,3,1,94.1,90,4,Mobile,15,12,57.2,LOW
PROJ-0255,52.4,11.6,46.8,38.1,13,2,50.2,1,7,Research,21,8,50.5,MEDIUM
PROJ-0256,84.2,26.0,63.4,80.0,2,0,79.2,46,1,Research,10,8,54.8,LOW
PROJ-0257,60.1,11.3,74.6,25.0,9,5,4.6,30,2,Research,12,3,14.7,HIGH
PROJ-0258,71.2,12.1,77.8,50.0,4,3,39.2,28,5,IoT,8,4,37.7,MEDIUM
PROJ-0259,72.4,12.9,60.9,60.0,6,0,62.9,55,6,Web,15,9,79.5,LOW
PROJ-0260,72.1,13.4,65.6,69.0,9,1,55.3,65,6,IoT,29,20,80.5,LOW
PROJ-0261,82.9,18.3,100.0,69.6,7,2,90.4,38,1,Research,23,16,79.3,LOW
PROJ-0262,60.6,10.6,79.7,42.9,8,1,18.7,25,4,Research,14,6,63.7,MEDIUM
PROJ-0263,89.6,10.3,74.4,44.4,5,3,43.1,19,5,AI,9,4,41.5,MEDIUM
